condition,seed,gender,n_utts,duration_hours,wer,wer_ci_low,wer_ci_high,cer,cer_ci_low,cer_ci_high,analysable
unpruned,42,male,1806,2.8968,0.1659002687369364,0.15625809459026094,0.17687671719438425,0.09638035650549036,0.08852679379356437,0.10626154696752997,yes
unpruned,42,female,491,0.8054,0.14024260480953393,0.12440383919664098,0.15713691436342841,0.0793249572522489,0.06855572880301121,0.0914975531747099,yes
unpruned,42,other,11,0.0158,0.09482758620689655,0.09482758620689655,0.09482758620689655,0.036585365853658534,0.036585365853658534,0.036585365853658534,no
unpruned,42,missing,14082,23.3028,0.1504729020783879,0.1460914802313615,0.15516473247154008,0.08541537778200796,0.0820740459439673,0.08948496458092338,yes
unpruned,42,ALL,16390,27.0207,0.15177981698441098,0.14771465744908413,0.15611912818438953,0.08638050959644437,0.08332162861352917,0.08992346453930715,yes
